Consecutivo,Estado,Region,Municipio,Uso Suelo,Acto Juridico,Año
279,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
280,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
281,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
282,JALISCO,GUADALAJARA,GUADALAJARA,URBANO,Hipoteca,2017
283,JALISCO,GUADALAJARA,TLAQUEPAQUE,,Hipoteca,2017
284,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
285,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
286,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
287,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
288,JALISCO,GUADALAJARA,ZAPOPAN,URBANO,Hipoteca,2017
289,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
290,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
291,JALISCO,GUADALAJARA,GUADALAJARA,URBANO,Hipoteca,2017
292,JALISCO,GUADALAJARA,GUADALAJARA,URBANO,Hipoteca,2017
293,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
294,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
295,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
296,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
297,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
298,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
299,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
300,JALISCO,GUADALAJARA,TONALA,HABITACIONAL,Hipoteca,2017
301,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
302,JALISCO,GUADALAJARA,TLAJOMULCO DE ZUÑIGA,HABITACIONAL,Hipoteca,2017
303,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
304,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
305,JALISCO,GUADALAJARA,TLAQUEPAQUE,HABITACIONAL,Hipoteca,2017
306,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
307,JALISCO,GUADALAJARA,GUADALAJARA,HABITACIONAL,Hipoteca,2017
308,JALISCO,GUADALAJARA,ZAPOPAN,HABITACIONAL,Hipoteca,2017
